date,item_id,price,label
2005-01-01,210106,0.8027273,Bread
2005-01-01,210403,4.605769,Beef
2005-01-01,210905,2.5528638,Fresh chicken
2005-01-01,211210,1.4248968,frozen fish
2005-01-01,212405,1.2063874,frozen chips
2005-02-01,210106,0.83631146,Bread
2005-02-01,210403,4.5665693,Beef
2005-02-01,210905,2.4739487,Fresh chicken
2005-02-01,211210,1.3858602,frozen fish
2005-02-01,212405,1.2325424,frozen chips
2005-03-01,210106,0.844127,Bread
2005-03-01,210403,4.6180415,Beef
2005-03-01,210905,2.5664594,Fresh chicken
2005-03-01,211210,1.4324719,frozen fish
2005-03-01,212405,1.2214439,frozen chips
2005-04-01,210106,0.82835937,Bread
2005-04-01,210403,4.5999246,Beef
2005-04-01,210905,2.5175226,Fresh chicken
2005-04-01,211210,1.4035001,frozen fish
2005-04-01,212405,1.1955851,frozen chips
2005-05-01,210106,0.7265306,Bread
2005-05-01,210403,4.326579,Beef
2005-05-01,210905,2.3821428,Fresh chicken
2005-05-01,211210,1.3897928,frozen fish
2005-05-01,212405,1.2425137,frozen chips
2005-06-01,210106,0.8197656,Bread
2005-06-01,210403,4.651341,Beef
2005-06-01,210905,2.5312612,Fresh chicken
2005-06-01,211210,1.368706,frozen fish
2005-06-01,212405,1.1683334,frozen chips
2005-07-01,210106,0.79071426,Bread
2005-07-01,210403,4.6567187,Beef
2005-07-01,210905,2.5263135,Fresh chicken
2005-07-01,211210,1.311649,frozen fish
2005-07-01,212405,1.1820103,frozen chips
2005-08-01,210106,0.80984616,Bread
2005-08-01,210403,4.6491504,Beef
2005-08-01,210905,2.4970224,Fresh chicken
2005-08-01,211210,1.3396591,frozen fish
2005-08-01,212405,1.1650001,frozen chips
2005-09-01,210106,0.8238519,Bread
2005-09-01,210403,4.63254,Beef
2005-09-01,210905,2.4868965,Fresh chicken
2005-09-01,211210,1.3470304,frozen fish
2005-09-01,212405,1.1576087,frozen chips
2005-10-01,210106,0.82057375,Bread
2005-10-01,210403,4.641034,Beef
2005-10-01,210905,2.509906,Fresh chicken
2005-10-01,211210,1.3957528,frozen fish
2005-10-01,212405,1.1754545,frozen chips
2005-11-01,210106,0.8247015,Bread
2005-11-01,210403,4.6160607,Beef
2005-11-01,210905,2.4967275,Fresh chicken
2005-11-01,211210,1.3978143,frozen fish
2005-11-01,212405,1.1690323,frozen chips
2005-12-01,210106,0.8180741,Bread
2005-12-01,210403,4.595763,Beef
2005-12-01,210905,2.537511,Fresh chicken
2005-12-01,211210,1.4669473,frozen fish
2005-12-01,212405,1.2423126,frozen chips
2006-01-01,210106,0.82325923,Bread
2006-01-01,210403,4.6304903,Beef
2006-01-01,210905,2.5429597,Fresh chicken
2006-01-01,211210,1.4610229,frozen fish
2006-01-01,212405,1.3118824,frozen chips
2006-02-01,210106,0.83370966,Bread
2006-02-01,210403,4.518259,Beef
2006-02-01,210905,2.6099498,Fresh chicken
2006-02-01,211210,1.4230168,frozen fish
2006-02-01,212405,1.3335294,frozen chips
2006-03-01,210106,0.81406504,Bread
2006-03-01,210403,4.6258397,Beef
2006-03-01,210905,2.5731707,Fresh chicken
2006-03-01,211210,1.4759771,frozen fish
2006-03-01,212405,1.3217442,frozen chips
2006-04-01,210106,0.8412977,Bread
2006-04-01,210403,4.6446924,Beef
2006-04-01,210905,2.5628126,Fresh chicken
2006-04-01,211210,1.5138372,frozen fish
2006-04-01,212405,1.3352487,frozen chips
2006-05-01,210106,0.8228347,Bread
2006-05-01,210403,4.7273417,Beef
2006-05-01,210905,2.5213964,Fresh chicken
2006-05-01,211210,1.498306,frozen fish
2006-05-01,212405,1.3377249,frozen chips
2006-06-01,210106,0.8248819,Bread
2006-06-01,210403,4.6837063,Beef
2006-06-01,210905,2.542202,Fresh chicken
2006-06-01,211210,1.5141362,frozen fish
2006-06-01,212405,1.3605759,frozen chips
2006-07-01,210106,0.846746,Bread
2006-07-01,210403,4.865947,Beef
2006-07-01,210905,2.5104072,Fresh chicken
2006-07-01,211210,1.5197917,frozen fish
2006-07-01,212405,1.2826425,frozen chips
2006-08-01,210106,0.8169767,Bread
2006-08-01,210403,4.8952346,Beef
2006-08-01,210905,2.5065753,Fresh chicken
2006-08-01,211210,1.5396843,frozen fish
2006-08-01,212405,1.3179661,frozen chips
2006-09-01,210106,0.80763364,Bread
2006-09-01,210403,4.8955894,Beef
2006-09-01,210905,2.538927,Fresh chicken
2006-09-01,211210,1.5398974,frozen fish
2006-09-01,212405,1.310564,frozen chips
2006-10-01,210106,0.7962595,Bread
